,08:40,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,0,-1,0,-1,-1,,2020. 04. 01
1,0,-1,-1,-1,-1,,2020. 04. 02
2,0,-1,-1,-1,0,,2020. 04. 03
3,-1,0,0,-1,-1,,2020. 04. 04
4,-1,0,-1,-1,-1,,2020. 04. 05
5,0,-1,-1,-1,-1,,2020. 04. 06
6,0,-1,-1,-1,-1,,2020. 04. 07
7,0,-1,0,-1,-1,,2020. 04. 08
8,0,-1,-1,-1,-1,,2020. 04. 09
9,0,-1,-1,-1,0,,2020. 04. 10
10,0,0,0,-1,-1,,2020. 04. 11
11,0,0,-1,-1,-1,,2020. 04. 12
12,0,-1,-1,-1,-1,,2020. 04. 13
13,0,-1,-1,-1,-1,,2020. 04. 14
14,0,-1,0,-1,-1,,2020. 04. 15
15,0,-1,-1,-1,-1,,2020. 04. 16
16,0,-1,-1,-1,0,,2020. 04. 17
17,-1,0,0,-1,-1,,2020. 04. 18
18,-1,0,-1,-1,-1,,2020. 04. 19
19,0,22,13,19,31,,2020. 04. 20
20,0,19,18,24,37,,2020. 04. 21
21,0,20,0,18,25,,2020. 04. 22
22,0,25,21,26,40,,2020. 04. 23
23,0,25,22,20,0,,2020. 04. 24
24,22,0,0,5,18,,2020. 04. 25
25,37,0,17,21,38,,2020. 04. 26
26,0,23,26,23,40,,2020. 04. 27
27,0,24,24,25,40,,2020. 04. 28
28,0,20,0,28,25,,2020. 04. 29
29,0,26,21,25,40,,2020. 04. 30
30,0,20,22,26,0,,2020. 05. 01
31,24,0,0,20,23,,2020. 05. 02
32,23,0,16,22,0,,2020. 05. 03
33,0,31,26,28,0,,2020. 05. 04
34,0,36,32,38,0,,2020. 05. 05
35,0,38,0,39,37,,2020. 05. 06
36,0,39,40,37,0,,2020. 05. 07
37,0,37,35,30,0,,2020. 05. 08
38,34,0,0,19,30,,2020. 05. 09
