,0,1,2,3,4,<-,ÀÏÀÚ
0,0,0,0,-1,-1,,2020. 04. 01
1,0,0,0,-1,-1,,2020. 04. 02
2,0,0,0,-1,-1,,2020. 04. 03
3,0,0,-1,0,0,,2020. 04. 04
4,-1,0,-1,0,0,,2020. 04. 05
5,-1,0,0,-1,-1,,2020. 04. 06
6,0,-1,0,-1,-1,,2020. 04. 07
7,0,0,0,-1,-1,,2020. 04. 08
8,0,0,0,-1,-1,,2020. 04. 09
9,-1,0,0,-1,-1,,2020. 04. 10
10,-1,0,0,-1,-1,,2020. 04. 13
11,0,0,0,-1,-1,,2020. 04. 14
12,0,-1,0,-1,-1,,2020. 04. 16
13,-1,0,0,-1,-1,,2020. 04. 17
14,0,0,-1,0,0,,2020. 04. 18
15,-1,0,0,-1,-1,,2020. 04. 20
16,0,0,0,-1,-1,,2020. 04. 21
17,0,0,0,-1,-1,,2020. 04. 22
18,0,0,0,3,8,,2020. 04. 23
19,20,0,0,-1,-1,,2020. 04. 24
20,0,0,-1,0,0,,2020. 04. 25
21,-1,0,-1,0,0,,2020. 04. 26
22,29,0,0,19,25,,2020. 04. 27
23,0,0,0,26,23,,2020. 04. 28
24,0,0,0,26,20,,2020. 04. 29
25,0,0,12,0,0,,2020. 04. 30
