,09:50,13:20,15:40,18:00,<-,ÀÏÀÚ
0,-1,-1,-1,0,,2020. 04. 01
1,0,-1,0,-1,,2020. 04. 02
2,-1,-1,-1,-1,,2020. 04. 03
3,0,-1,0,0,,2020. 04. 05
4,0,-1,-1,-1,,2020. 04. 06
5,0,-1,0,-1,,2020. 04. 07
6,-1,-1,-1,-1,,2020. 04. 08
7,0,-1,0,0,,2020. 04. 09
8,-1,-1,-1,-1,,2020. 04. 10
9,0,-1,-1,0,,2020. 04. 11
10,0,-1,-1,0,,2020. 04. 12
11,0,-1,-1,-1,,2020. 04. 13
12,0,-1,0,-1,,2020. 04. 14
13,0,-1,0,-1,,2020. 04. 16
14,-1,-1,-1,0,,2020. 04. 17
15,0,-1,0,0,,2020. 04. 18
16,0,0,-1,-1,,2020. 04. 20
17,0,-1,0,-1,,2020. 04. 21
18,-1,-1,-1,-1,,2020. 04. 22
19,0,-1,0,0,,2020. 04. 23
20,-1,-1,-1,-1,,2020. 04. 24
21,-1,-1,0,0,,2020. 04. 25
22,0,-1,0,0,,2020. 04. 26
23,-1,-1,0,0,,2020. 04. 30
