,09:50,13:20,15:40,<-,ÀÏÀÚ
0,-1,0,-1,,2020. 04. 01
1,-1,0,0,,2020. 04. 02
2,0,-1,0,,2020. 04. 04
3,0,-1,0,,2020. 04. 05
4,0,0,-1,,2020. 04. 07
5,0,0,-1,,2020. 04. 08
6,0,-1,0,,2020. 04. 11
7,0,-1,0,,2020. 04. 12
8,0,0,-1,,2020. 04. 13
9,0,0,-1,,2020. 04. 14
10,0,-1,0,,2020. 04. 18
11,0,-1,0,,2020. 04. 19
12,0,0,1,,2020. 04. 20
13,0,0,13,,2020. 04. 21
14,0,0,14,,2020. 04. 22
15,0,1,0,,2020. 04. 25
16,0,7,0,,2020. 04. 26
17,0,0,19,,2020. 04. 27
18,0,0,19,,2020. 04. 28
19,0,0,19,,2020. 04. 29
20,0,16,0,,2020. 05. 01
21,0,13,0,,2020. 05. 02
